timestamp,appl_db_keys,route_pending_keys
1780846720,179,0
1780846722,1643,4
1780846724,3883,1
1780846726,5873,16
1780846727,7700,997
1780846729,9550,698
1780846731,11742,1901
1780846733,13959,3113
1780846734,16493,5546
1780846736,18569,6641
1780846737,20190,7228
1780846740,22546,9622
1780846741,24633,10612
1780846743,26541,12446
1780846744,28033,13947
1780846746,30112,15953
1780846747,30180,14929
1780846748,30182,13905
1780846751,30182,13905
1780846753,30182,13905
1780846755,30182,13905
1780846757,30180,13905
1780846759,30180,12881
1780846760,30180,12881
1780846762,30182,11857
1780846763,30182,11857
1780846764,30180,11857
