timestamp,appl_db_keys,route_pending_keys
1780549946,18773,43700
1780549948,21436,44288
1780549949,25078,44070
1780549951,28631,44755
1780549952,32820,45456
1780549954,37101,45263
1780549955,40836,45896
1780549957,44318,45595
1780549958,48192,45171
1780549959,51066,45791
1780549961,54885,46590
1780549962,59670,46259
1780549964,63560,47006
1780549965,66398,46398
1780549967,66398,46398
1780549968,66046,45374
1780549970,66046,45374
1780549971,66046,45374
1780549972,65688,44350
1780549974,65688,44350
1780549976,65331,43326
1780549977,65331,43326
1780549979,65333,43326
1780549980,65333,43326
1780549982,64969,42302
1780549983,64969,42302
1780549985,64590,41278
1780549986,64590,41278
1780549987,64242,40254
1780549988,64242,40254
1780549990,64242,40254
