timestamp,elapsed_seconds,route_pending_keys
1780846830,0,27952
1780846832,2,27952
1780846834,4,26928
1780846837,7,26928
1780846839,9,26928
1780846841,11,25904
1780846843,13,25904
1780846846,16,25904
1780846848,18,24880
1780846850,20,23856
1780846852,22,23856
1780846854,24,22832
1780846856,26,21808
1780846859,29,20784
1780846861,31,20784
1780846863,33,19760
1780846865,35,19760
1780846867,37,18736
1780846869,39,17712
1780846872,42,16688
1780846874,44,16688
1780846877,47,15664
1780846879,49,14640
1780846881,51,13616
1780846883,53,12592
1780846885,55,10544
1780846887,57,7472
1780846890,60,2352
1780846892,62,0
