timestamp,appl_db_keys,route_pending_keys
1780768858,179,0
1780768861,805,30
1780768863,1385,85
1780768866,2339,136
1780768869,3251,216
1780768871,3980,369
1780768874,4493,125
1780768876,4835,432
1780768878,5403,1025
1780768881,6003,610
1780768883,6740,1337
1780768886,7163,703
1780768889,7551,1119
1780768891,8141,1731
1780768894,9155,2696
1780768897,9532,2052
1780768899,10001,2607
1780768902,10514,3018
1780768905,10947,3543
1780768907,11437,3927
1780768910,11811,4350
1780768912,12087,4612
1780768914,12399,3898
1780768916,12862,4369
1780768919,13113,4619
1780768921,13556,5055
1780768924,13909,5445
1780768926,14387,5946
1780768929,14723,6238
1780768931,15433,6022
1780768933,16445,6970
1780768935,16981,7474
1780768938,17430,7958
1780768941,18726,9289
1780768943,19222,8750
1780768946,19642,9119
1780768948,20182,9577
1780768951,20182,9577
1780768953,20182,9577
1780768956,20182,9577
1780768958,20182,9577
1780768960,20182,9577
1780768963,20180,8553
1780768966,20180,8553
1780768970,20182,8553
1780768973,20182,8553
1780768976,20182,8553
1780768979,20182,8553
1780768982,20182,8553
1780768984,20182,8553
1780768986,20182,8553
1780768989,20182,8553
1780768992,20180,7529
1780768995,20182,7529
1780768998,20182,7529
1780769000,20182,7529
1780769003,20182,7529
1780769005,20182,7529
1780769008,20182,7529
1780769011,20182,7529
1780769013,20182,7529
1780769016,20182,7529
1780769018,20180,7529
1780769020,20182,6505
1780769023,20182,6505
1780769026,20182,6505
1780769029,20182,6505
1780769031,20182,6505
1780769034,20182,6505
1780769036,20182,6505
1780769038,20182,6505
1780769041,20182,6505
1780769043,20182,6505
1780769046,20182,6505
1780769048,20182,6505
1780769051,20180,6505
1780769053,20180,5481
1780769056,20180,5481
1780769059,20180,5481
1780769061,20182,5481
1780769063,20182,5481
1780769066,20182,5481
1780769068,20182,5481
1780769071,20182,5481
1780769073,20182,5481
1780769076,20182,5481
1780769079,20180,5481
1780769081,20180,4457
1780769085,20180,4457
1780769087,20182,4457
1780769091,20182,4457
1780769093,20182,4457
1780769096,20182,4457
