timestamp,appl_db_keys,route_pending_keys
1780759470,179,0
1780759473,985,0
1780759476,1490,100
1780759478,1863,86
1780759481,2355,1
1780759484,2695,425
1780759487,3145,279
1780759490,3816,1003
1780759493,4407,1580
1780759496,4992,2131
1780759498,5218,1341
1780759501,5502,1614
1780759503,5786,1899
1780759505,6029,2108
1780759508,6479,2594
1780759510,6600,1684
1780759512,6836,1912
1780759515,7163,2211
1780759517,7581,2654
1780759520,8054,3145
1780759522,8377,3514
1780759524,8587,2619
1780759527,8851,2897
1780759530,9110,3176
1780759532,9370,3446
1780759535,9749,3837
1780759537,10036,4114
1780759539,10182,4190
1780759541,10182,4190
1780759544,10182,3166
1780759548,10182,3166
1780759551,10182,3166
1780759554,10182,3166
1780759557,10182,3166
1780759560,10182,3166
1780759562,10182,3166
1780759564,10182,3166
1780759567,10182,2142
1780759570,10182,2142
1780759572,10182,2142
1780759574,10182,2142
1780759577,10182,2142
1780759579,10182,2142
1780759582,10182,2142
1780759585,10182,2142
1780759588,10182,2142
1780759591,10182,2142
1780759593,10182,1118
1780759596,10182,1118
1780759598,10182,1118
1780759601,10182,1118
1780759604,10182,1118
1780759607,10182,1118
1780759610,10182,1118
1780759613,10182,1118
1780759616,10182,1118
1780759619,10182,1118
1780759621,10182,1118
1780759624,10182,1118
1780759626,10182,94
1780759630,10182,94
1780759632,10182,94
1780759635,10182,94
1780759637,10182,94
1780759640,10182,94
1780759642,10182,94
1780759645,10180,94
1780759647,10182,94
1780759650,10181,0
1780759653,10181,0
1780759655,10181,0
1780759658,10181,0
1780759661,10181,0
1780759663,10181,0
1780759665,10181,0
1780759668,10181,0
1780759670,10181,0
1780759673,10181,0
1780759675,10181,0
1780759678,10181,0
1780759680,10181,0
1780759682,10181,0
1780759685,10181,0
1780759686,10181,0
1780759688,10181,0
1780759691,10181,0
1780759692,10181,0
1780759695,10181,0
1780759697,10181,0
1780759699,10181,0
1780759702,10181,0
1780759704,10181,0
1780759706,10181,0
1780759708,10181,0
1780759711,10181,0
1780759713,10181,0
1780759715,10181,0
1780759717,10181,0
1780759720,10181,0
1780759722,10181,0
1780759724,10181,0
1780759726,10181,0
1780759728,10181,0
1780759731,10181,0
1780759733,10181,0
1780759736,10181,0
1780759739,10181,0
1780759741,10181,0
1780759744,10181,0
1780759746,10181,0
1780759748,10181,0
1780759751,10181,0
1780759753,10181,0
1780759755,10181,0
1780759757,10181,0
1780759760,10181,0
1780759762,10181,0
1780759764,10181,0
1780759766,10181,0
1780759769,10181,0
