timestamp,elapsed_seconds,route_pending_keys
1780767367,0,8488
1780767370,3,8488
1780767372,5,7464
1780767375,8,7464
1780767377,10,6440
1780767380,13,6440
1780767382,15,4392
1780767385,18,1320
1780767388,21,0
