timestamp,elapsed_seconds,route_pending_keys
1780559812,0,27952
1780559814,2,27952
1780559816,4,27952
1780559818,6,26928
1780559821,9,25904
1780559823,11,25904
1780559825,13,24880
1780559827,15,23856
1780559829,17,22832
1780559831,19,22832
1780559833,21,21808
1780559835,23,21808
1780559838,26,20784
1780559840,28,19760
1780559842,30,18736
1780559844,32,17712
1780559846,34,16688
1780559849,37,15664
1780559851,39,14640
1780559853,41,13616
1780559855,43,11568
1780559857,45,9520
1780559859,47,7472
1780559861,49,4400
1780559863,51,0
