timestamp,elapsed_seconds,route_pending_keys
1780559582,0,16884
1780559585,3,15860
1780559587,5,14836
1780559589,7,13812
1780559591,9,12788
1780559593,11,11764
1780559596,14,11764
1780559598,16,10740
1780559600,18,9716
1780559602,20,9716
1780559605,23,8692
1780559607,25,7668
1780559609,27,6644
1780559611,29,6644
1780559613,31,6644
1780559615,33,5620
1780559618,36,4596
1780559620,38,3572
1780559622,40,3572
1780559624,42,3572
1780559626,44,2548
1780559629,47,2548
1780559631,49,2548
1780559634,52,2548
1780559636,54,1524
1780559638,56,1524
1780559640,58,500
1780559643,61,500
1780559645,63,500
1780559647,65,0
