timestamp,appl_db_keys,route_pending_keys
1780846634,179,0
1780846637,943,2
1780846638,2866,184
1780846640,4232,253
1780846642,6186,721
1780846643,8326,1037
1780846645,10448,2129
1780846647,12503,3152
1780846648,14073,3563
1780846650,16239,5877
1780846652,18537,7151
1780846654,20180,8515
1780846655,20180,7491
1780846657,20182,6467
1780846658,20180,5443
1780846660,20180,5443
1780846661,20180,4419
1780846663,20180,4419
1780846664,20180,3395
1780846666,20180,3395
1780846668,20180,2371
1780846669,20182,2371
1780846671,20182,1347
1780846672,20182,1347
1780846673,20180,1347
1780846675,20180,323
1780846676,20180,323
1780846678,20179,0
