timestamp,appl_db_keys,route_pending_keys
1780759854,179,0
1780759857,362,3
1780759860,759,2
1780759862,1122,19
1780759865,1422,0
1780759867,1669,1
1780759870,1982,9
1780759872,2377,175
1780759874,2810,83
1780759877,3093,16
1780759879,3369,310
1780759881,3706,639
1780759884,3991,1
1780759887,4213,271
1780759890,4540,602
1780759892,4879,2
1780759895,5230,324
1780759897,5444,559
1780759900,5628,712
1780759902,5853,942
1780759904,6163,1291
1780759907,6517,571
1780759910,6762,882
1780759913,7306,1418
1780759915,7502,1557
1780759918,7953,2042
1780759920,8210,2315
1780759923,8632,1697
1780759926,8854,1893
1780759928,9118,2214
1780759930,9397,2442
1780759933,9663,2688
1780759935,9824,2870
1780759937,10008,3090
1780759940,10182,3195
1780759943,10182,3195
1780759945,10182,2171
1780759948,10182,2171
1780759951,10182,2171
1780759954,10182,2171
1780759956,10182,2171
1780759958,10182,2171
1780759962,10182,2171
1780759964,10182,2171
1780759967,10182,2171
1780759968,10182,2171
1780759971,10182,2171
1780759974,10182,2171
1780759976,10182,2171
1780759978,10182,1147
1780759980,10180,1147
1780759983,10182,1147
1780759986,10182,1147
1780759988,10182,1147
1780759991,10182,1147
1780759993,10182,123
1780759995,10182,123
1780759998,10180,123
1780760000,10182,123
1780760002,10182,123
1780760005,10182,123
1780760008,10182,123
1780760011,10182,123
1780760013,10182,123
1780760015,10182,123
1780760018,10182,123
1780760021,10181,0
1780760023,10181,0
1780760026,10181,0
1780760028,10181,0
1780760031,10181,0
1780760033,10179,0
1780760035,10181,0
1780760038,10181,0
1780760040,10181,0
1780760042,10181,0
1780760045,10181,0
1780760048,10181,0
1780760050,10181,0
1780760053,10181,0
1780760055,10181,0
1780760058,10181,0
1780760060,10181,0
1780760063,10181,0
1780760065,10181,0
1780760069,10181,0
1780760071,10181,0
1780760074,10181,0
1780760076,10179,0
1780760079,10181,0
1780760081,10181,0
1780760083,10181,0
1780760085,10181,0
1780760087,10181,0
1780760090,10181,0
1780760092,10181,0
1780760095,10181,0
1780760097,10181,0
1780760099,10181,0
1780760101,10181,0
1780760104,10181,0
1780760106,10181,0
1780760108,10181,0
1780760110,10181,0
1780760113,10181,0
1780760115,10181,0
1780760118,10181,0
1780760121,10181,0
1780760124,10181,0
1780760126,10181,0
1780760128,10181,0
1780760130,10181,0
1780760132,10181,0
1780760134,10181,0
1780760136,10181,0
1780760138,10181,0
1780760140,10181,0
1780760143,10181,0
1780760145,10181,0
1780760148,10181,0
1780760151,10181,0
