timestamp,appl_db_keys,route_pending_keys
1780768069,179,0
1780768072,344,8
1780768074,1050,47
1780768077,1584,229
1780768080,2239,31
1780768082,2785,249
1780768084,3803,32
1780768087,4261,501
1780768089,4712,3
1780768093,5074,311
1780768095,5481,777
1780768098,6027,1317
1780768100,6366,658
1780768103,6935,1201
1780768105,7455,1701
1780768108,7726,1958
1780768110,8129,2411
1780768113,8487,2737
1780768115,9348,3617
1780768118,9722,3982
1780768121,10058,3295
1780768123,10182,3347
1780768126,10182,3347
1780768128,10182,3347
1780768131,10182,3347
1780768134,10180,3347
1780768136,10180,3347
1780768138,10180,3347
1780768141,10180,3347
1780768144,10180,2323
1780768146,10182,2323
1780768148,10180,2323
1780768151,10180,1299
1780768153,10180,1299
1780768156,10180,1299
1780768158,10182,1299
1780768160,10180,1299
1780768163,10180,1299
1780768166,10180,275
1780768169,10180,275
1780768171,10182,275
1780768174,10182,275
1780768176,10180,275
1780768179,10180,275
1780768182,10180,275
1780768184,10182,275
1780768188,10182,0
1780768190,10181,0
1780768193,10181,0
1780768195,10179,0
1780768197,10181,0
1780768200,10181,0
1780768202,10179,0
1780768204,10179,0
1780768207,10179,0
1780768209,10179,0
1780768212,10181,0
1780768214,10181,0
1780768217,10181,0
1780768219,10181,0
1780768222,10181,0
1780768224,10181,0
1780768226,10181,0
1780768229,10181,0
1780768231,10181,0
1780768234,10181,0
1780768236,10181,0
1780768239,10181,0
1780768241,10181,0
1780768244,10181,0
1780768246,10181,0
