timestamp,appl_db_keys,route_pending_keys
1780559869,180,0
1780559872,1175,0
1780559874,2823,71
1780559876,4101,387
1780559877,5139,597
1780559879,6006,429
1780559881,8482,2005
1780559883,10578,2994
1780559885,13014,4539
1780559887,16648,7568
1780559888,20322,9826
1780559890,23940,12304
1780559891,27317,15564
1780559893,28979,16431
1780559894,32182,19616
1780559896,34788,21347
1780559897,38541,23897
1780559899,40181,25247
1780559900,40183,24223
1780559902,40181,24223
1780559903,40181,23199
1780559904,40181,23199
1780559906,40181,22175
1780559907,40181,21151
1780559908,40181,21151
1780559910,40181,20127
1780559911,40181,20127
1780559912,40181,20127
1780559914,40183,19103
1780559915,40183,19103
1780559916,40181,18079
1780559918,40181,18079
1780559919,40181,17055
1780559921,40181,17055
1780559922,40181,17055
1780559924,40181,17055
1780559925,40181,16031
1780559926,40181,16031
1780559928,40181,15007
1780559929,40181,15007
1780559931,40181,15007
1780559933,40181,15007
1780559935,40181,15007
1780559937,40181,15007
1780559938,40181,13983
1780559940,40181,13983
1780559941,40181,13983
1780559943,40181,12959
1780559944,40181,12959
1780559946,40181,12959
1780559947,40181,11935
1780559949,40181,11935
1780559950,40181,11935
1780559952,40181,11935
1780559953,40181,11935
1780559954,40181,10911
1780559956,40181,10911
1780559957,40181,10911
1780559958,40181,10911
1780559960,40181,9887
1780559962,40181,9887
1780559963,40181,9887
1780559964,40181,9887
1780559965,40183,9887
1780559967,40183,8863
1780559968,40183,8863
1780559969,40181,8863
1780559970,40181,8863
1780559972,40181,8863
1780559973,40181,7839
1780559974,40181,7839
1780559976,40181,7839
1780559977,40181,6815
1780559978,40181,6815
1780559979,40181,6815
1780559981,40181,6815
1780559982,40181,6815
1780559984,40181,5791
1780559985,40181,5791
1780559987,40181,5791
1780559988,40181,4767
1780559990,40181,4767
1780559992,40183,4767
1780559994,40183,4767
1780559996,40183,4767
1780559997,40183,4767
1780559999,40181,4767
1780560000,40181,3743
1780560001,40181,3743
1780560003,40181,3743
1780560004,40181,3743
1780560005,40183,3743
1780560007,40181,3743
1780560008,40181,2719
1780560009,40181,2719
1780560011,40181,2719
1780560012,40181,2719
1780560013,40181,2719
1780560014,40181,2719
1780560016,40181,1695
1780560017,40181,1695
1780560018,40183,1695
1780560019,40181,1695
1780560021,40181,1695
1780560022,40181,1695
1780560023,40181,671
1780560025,40181,671
1780560026,40181,671
1780560027,40181,671
1780560029,40181,671
1780560030,40180,0
1780560031,40182,0
1780560033,40182,0
1780560034,40182,0
1780560035,40180,0
1780560037,40180,0
1780560038,40180,0
1780560039,40180,0
1780560041,40180,0
1780560042,40180,0
1780560043,40180,0
1780560045,40182,0
1780560046,40182,0
1780560047,40182,0
1780560049,40180,0
1780560050,40180,0
1780560052,40180,0
1780560054,40180,0
1780560055,40180,0
1780560057,40182,0
1780560059,40182,0
1780560060,40182,0
1780560062,40180,0
1780560063,40180,0
1780560065,40180,0
1780560066,40180,0
1780560067,40180,0
1780560069,40180,0
1780560070,40182,0
1780560072,40182,0
1780560073,40182,0
1780560074,40182,0
1780560076,40182,0
1780560077,40182,0
1780560079,40182,0
1780560080,40180,0
1780560081,40180,0
1780560083,40180,0
1780560084,40182,0
1780560086,40182,0
1780560087,40180,0
1780560089,40180,0
1780560090,40180,0
1780560092,40180,0
1780560093,40180,0
1780560094,40180,0
1780560096,40180,0
1780560097,40182,0
1780560098,40182,0
1780560100,40182,0
1780560101,40182,0
1780560102,40182,0
1780560104,40180,0
1780560105,40180,0
1780560106,40180,0
1780560108,40180,0
