timestamp,elapsed_seconds,route_pending_keys
1780759538,0,4190
1780759541,3,4190
1780759544,6,3166
1780759548,10,3166
1780759552,14,3166
1780759555,17,3166
1780759558,20,3166
1780759561,23,3166
1780759564,26,3166
1780759567,29,2142
1780759571,33,2142
1780759573,35,2142
1780759577,39,2142
1780759579,41,2142
1780759582,44,2142
1780759585,47,2142
1780759589,51,2142
1780759592,54,2142
1780759595,57,1118
1780759598,60,1118
1780759600,62,1118
1780759604,66,1118
1780759607,69,1118
1780759610,72,1118
1780759614,76,1118
1780759617,79,1118
1780759620,82,1118
1780759623,85,1118
1780759626,88,94
1780759630,92,94
1780759633,95,94
1780759636,98,94
1780759639,101,94
1780759642,104,94
1780759644,106,94
1780759647,109,94
1780759650,112,0
