timestamp,appl_db_keys,route_pending_keys
1780550010,23814,46363
1780550012,27054,46772
1780550013,30437,46214
1780550015,34313,46605
1780550016,37824,45999
1780550018,40651,46327
1780550019,43873,46778
1780550020,47724,46282
1780550022,52543,46879
1780550023,57331,47484
1780550025,60673,46950
1780550026,64686,47522
1780550027,68113,46966
1780550029,71300,47367
1780550030,71300,47367
1780550031,71302,47367
1780550033,70864,46343
1780550034,70862,46343
1780550035,70862,46343
1780550037,70409,45319
1780550039,70409,45319
1780550041,70409,45319
1780550042,70409,45319
1780550044,69944,44295
1780550045,69944,44295
1780550046,69942,44295
1780550048,69478,43271
1780550049,69478,43271
1780550051,69478,43271
1780550052,69478,43271
1780550053,69002,42247
1780550054,69002,42247
