timestamp,appl_db_keys,route_pending_keys
1780847208,179,0
1780847210,1839,172
1780847212,3478,497
1780847214,5346,70
1780847216,7206,104
1780847217,9058,1124
1780847219,11104,2126
1780847221,13432,3223
1780847222,15531,5388
1780847224,17417,7421
1780847226,19693,8583
1780847228,21786,9686
1780847229,24058,12156
1780847231,26425,13307
1780847233,27691,14508
1780847235,29064,15879
1780847237,31449,17127
1780847239,32671,18377
1780847241,33924,19605
1780847243,35701,20669
1780847245,38617,23417
1780847246,40970,24799
1780847248,43593,27474
1780847250,46040,29801
1780847251,48626,31439
