timestamp,elapsed_seconds,route_pending_keys
1780847253,0,32673
1780847255,2,31649
1780847257,4,30625
1780847259,6,29601
1780847261,8,29601
1780847264,11,28577
1780847266,13,27553
1780847268,15,27553
1780847270,17,26529
1780847272,19,25505
1780847275,22,25505
1780847277,24,24481
1780847279,26,23457
1780847281,28,23457
1780847283,30,22433
1780847285,32,22433
1780847288,35,21409
1780847290,37,21409
1780847292,39,20385
1780847294,41,20385
1780847296,43,20385
1780847299,46,19361
1780847301,48,19361
1780847303,50,19361
1780847305,52,18337
1780847307,54,18337
1780847310,57,17313
1780847312,59,17313
1780847314,61,17313
1780847316,63,16289
1780847318,65,16289
1780847321,68,15265
1780847323,70,15265
1780847325,72,15265
1780847327,74,14241
1780847329,76,14241
1780847331,78,13217
1780847333,80,13217
1780847336,83,13217
1780847338,85,12193
1780847340,87,12193
1780847342,89,11169
1780847344,91,11169
1780847346,93,11169
1780847348,95,11169
1780847351,98,10145
1780847353,100,10145
1780847355,102,10145
1780847358,105,10145
1780847360,107,10145
1780847362,109,9121
1780847364,111,9121
1780847366,113,9121
1780847369,116,8097
1780847371,118,8097
1780847373,120,8097
1780847375,122,8097
1780847377,124,7073
1780847379,126,7073
1780847382,129,7073
1780847384,131,6049
1780847386,133,6049
1780847388,135,6049
1780847390,137,5025
1780847392,139,5025
1780847394,141,5025
1780847397,144,5025
1780847399,146,4001
1780847401,148,4001
1780847403,150,4001
1780847405,152,4001
1780847408,155,2977
1780847410,157,2977
1780847412,159,2977
1780847414,161,2977
1780847416,163,2977
1780847419,166,1953
1780847421,168,1953
1780847423,170,1953
1780847425,172,1953
1780847428,175,1953
1780847430,177,1953
1780847432,179,929
1780847434,181,929
1780847437,184,929
1780847439,186,929
1780847441,188,929
1780847443,190,0
