timestamp,elapsed_seconds,route_pending_keys
1780847465,0,48976
1780847467,2,47952
1780847469,4,47952
1780847471,6,47952
1780847473,8,46928
1780847475,10,46928
1780847478,13,46928
1780847480,15,46928
1780847482,17,46928
1780847485,20,46928
1780847487,22,45904
1780847489,24,45904
1780847491,26,45904
1780847493,28,45904
1780847495,30,44880
1780847497,32,44880
1780847500,35,44880
1780847502,37,44880
1780847504,39,44880
1780847506,41,43856
1780847508,43,43856
1780847510,45,43856
1780847513,48,42832
1780847515,50,42832
1780847517,52,42832
1780847519,54,42832
1780847521,56,41808
1780847523,58,41808
1780847525,60,41808
1780847528,63,40784
1780847530,65,40784
1780847532,67,40784
1780847534,69,40784
1780847537,72,39760
1780847539,74,39760
1780847541,76,39760
1780847544,79,39760
1780847546,81,39760
1780847548,83,38736
1780847550,85,38736
1780847552,87,37712
1780847554,89,37712
1780847556,91,37712
1780847559,94,36688
1780847561,96,36688
1780847563,98,35664
1780847565,100,35664
1780847567,102,35664
1780847569,104,34640
1780847571,106,34640
1780847574,109,34640
1780847576,111,33616
1780847578,113,32592
1780847580,115,32592
1780847582,117,32592
1780847584,119,32592
1780847587,122,31568
1780847589,124,30544
1780847591,126,30544
1780847593,128,29520
1780847595,130,29520
1780847598,133,29520
1780847600,135,29520
1780847602,137,28496
1780847604,139,28496
1780847607,142,27472
1780847609,144,26448
1780847611,146,26448
1780847613,148,25424
1780847615,150,25424
1780847617,152,24400
1780847620,155,23376
1780847622,157,22352
1780847624,159,22352
1780847626,161,21328
1780847628,163,20304
1780847630,165,19280
1780847632,167,18256
1780847635,170,17232
1780847637,172,16208
1780847639,174,15184
1780847641,176,14160
1780847643,178,12112
1780847645,180,11088
1780847648,183,9040
1780847650,185,3920
1780847652,187,0
