timestamp,appl_db_keys,route_pending_keys
1780846897,179,0
1780846900,1672,142
1780846901,3601,332
1780846903,5493,1099
1780846905,7202,801
1780846906,9636,2105
1780846908,11648,3077
1780846910,13938,4428
1780846911,16041,5359
1780846913,18034,7470
1780846915,20128,8561
1780846917,22273,10785
1780846918,24354,11802
1780846920,26433,12977
1780846921,28824,15281
1780846923,30935,16407
1780846924,33326,18696
1780846926,35615,21003
1780846928,37189,21482
1780846929,39335,23664
1780846931,40182,24244
1780846933,40180,24244
1780846935,40180,23220
1780846936,40180,23220
1780846938,40180,23220
1780846940,40180,23220
