timestamp,appl_db_keys,route_pending_keys
1780559292,180,0
1780559294,1954,215
1780559296,4791,736
1780559297,7765,540
1780559298,11335,3085
1780559300,14732,5382
1780559302,18088,7964
1780559303,20181,8520
1780559305,20181,7496
1780559306,20181,7496
1780559308,20181,6472
1780559309,20181,5448
1780559310,20181,5448
1780559312,20183,4424
1780559313,20181,3400
1780559315,20181,3400
1780559316,20181,2376
1780559318,20181,1352
1780559319,20181,1352
1780559321,20181,1352
1780559322,20181,328
1780559324,20181,328
1780559325,20182,0
1780559327,20180,0
1780559329,20180,0
1780559331,20180,0
1780559332,20180,0
1780559333,20180,0
1780559335,20180,0
1780559336,20180,0
1780559338,20182,0
1780559339,20180,0
1780559340,20180,0
1780559342,20180,0
1780559343,20180,0
1780559345,20180,0
1780559346,20180,0
1780559348,20180,0
1780559349,20180,0
1780559351,20182,0
1780559352,20180,0
1780559354,20180,0
1780559355,20180,0
1780559357,20180,0
1780559358,20180,0
1780559360,20180,0
1780559361,20180,0
1780559362,20180,0
1780559364,20182,0
1780559365,20180,0
1780559367,20180,0
1780559368,20180,0
1780559369,20180,0
1780559371,20180,0
1780559372,20180,0
1780559374,20180,0
1780559375,20180,0
1780559377,20182,0
1780559378,20182,0
1780559379,20180,0
1780559381,20180,0
1780559382,20180,0
1780559384,20180,0
1780559385,20180,0
1780559387,20180,0
1780559389,20180,0
1780559391,20182,0
1780559392,20182,0
1780559394,20180,0
1780559395,20180,0
1780559396,20180,0
1780559398,20180,0
1780559399,20180,0
1780559401,20180,0
1780559402,20180,0
1780559404,20182,0
1780559405,20180,0
1780559407,20180,0
1780559408,20180,0
1780559409,20180,0
1780559411,20180,0
1780559412,20180,0
1780559414,20180,0
1780559415,20180,0
1780559416,20182,0
1780559417,20180,0
1780559419,20180,0
1780559420,20180,0
1780559421,20180,0
1780559422,20180,0
1780559424,20180,0
1780559425,20180,0
1780559427,20180,0
1780559428,20180,0
1780559430,20180,0
1780559431,20180,0
1780559432,20180,0
1780559434,20180,0
1780559435,20180,0
1780559437,20180,0
1780559438,20180,0
1780559440,20180,0
1780559441,20180,0
1780559442,20182,0
1780559444,20180,0
1780559445,20180,0
1780559447,20180,0
1780559449,20180,0
1780559451,20180,0
1780559452,20180,0
1780559454,20180,0
1780559455,20182,0
1780559456,20180,0
1780559458,20180,0
1780559459,20180,0
1780559461,20180,0
1780559462,20180,0
1780559464,20180,0
1780559465,20180,0
1780559466,20180,0
1780559468,20180,0
1780559469,20182,0
1780559471,20180,0
1780559472,20180,0
1780559474,20180,0
1780559475,20180,0
1780559476,20180,0
1780559478,20180,0
1780559479,20180,0
1780559481,20180,0
1780559482,20182,0
1780559483,20180,0
1780559485,20180,0
1780559486,20180,0
1780559487,20180,0
1780559489,20180,0
1780559490,20180,0
1780559491,20180,0
1780559493,20180,0
1780559494,20182,0
1780559496,20180,0
1780559497,20180,0
1780559498,20180,0
1780559500,20180,0
1780559502,20180,0
1780559503,20180,0
1780559504,20180,0
1780559506,20180,0
1780559507,20182,0
1780559509,20180,0
1780559511,20180,0
1780559513,20180,0
1780559514,20180,0
1780559515,20180,0
1780559517,20180,0
1780559518,20180,0
1780559520,20180,0
1780559521,20182,0
1780559523,20182,0
1780559524,20180,0
1780559526,20180,0
1780559527,20180,0
1780559528,20180,0
1780559530,20180,0
1780559531,20180,0
