timestamp,appl_db_keys,route_pending_keys
1780849810,179,0
1780849812,2017,0
1780849814,3815,1
1780849815,5569,1
1780849817,7017,0
1780849818,8882,1
1780849820,10600,1
1780849822,12403,0
1780849823,14331,2
1780849825,16084,1
1780849827,17916,0
1780849829,19692,0
1780849830,21522,1
1780849832,23470,0
1780849833,25355,0
1780849835,27226,0
1780849837,29133,0
1780849838,30179,0
1780849841,30179,0
1780849843,30179,0
1780849845,30179,0
1780849846,30179,0
1780849848,30179,0
1780849849,30179,0
1780849850,30179,0
1780849851,30179,0
1780849853,30179,0
1780849854,30179,0
