timestamp,appl_db_keys,route_pending_keys
1780849953,179,0
1780849955,1759,1
1780849957,3566,0
1780849958,5315,1
1780849960,6911,1
1780849962,8027,2
1780849964,9084,0
1780849966,10084,1
1780849968,11007,5
1780849970,12512,0
1780849972,13303,1
1780849974,14597,247
1780849976,15784,0
1780849978,17679,0
1780849979,19428,2
1780849981,20951,1
1780849983,22631,0
1780849984,23952,1
1780849986,25568,0
1780849987,26716,0
1780849989,28094,1
1780849991,29785,1
1780849992,31276,1
1780849994,32602,0
1780849996,34175,2
1780849997,35906,1
