timestamp,elapsed_seconds,route_pending_keys
1780760321,0,11433
1780760324,3,11433
1780760326,5,11433
1780760329,8,11433
1780760332,11,10409
1780760335,14,10409
1780760337,16,10409
1780760340,19,10409
1780760343,22,10409
1780760346,25,10409
1780760349,28,10409
1780760352,31,10409
1780760356,35,10409
1780760359,38,9385
1780760362,41,9385
1780760365,44,9385
1780760369,48,9385
1780760372,51,9385
1780760375,54,9385
1780760377,56,9385
1780760380,59,8361
1780760382,61,8361
1780760385,64,8361
1780760387,66,8361
1780760389,68,7337
1780760392,71,7337
1780760394,73,7337
1780760396,75,6313
1780760399,78,6313
1780760401,80,5289
1780760403,82,5289
1780760406,85,4265
1780760408,87,3241
1780760411,90,3241
1780760413,92,2217
1780760415,94,2217
1780760418,97,1193
1780760420,99,1193
1780760423,102,169
1780760425,104,169
1780760427,106,0
