timestamp,elapsed_seconds,route_pending_keys
1780846931,1,24244
1780846933,3,24244
1780846935,5,23220
1780846938,8,23220
1780846940,10,23220
1780846943,13,22196
1780846945,15,21172
1780846947,17,20148
1780846949,19,19124
1780846951,21,19124
1780846953,23,18100
1780846955,25,17076
1780846958,28,17076
1780846960,30,16052
1780846962,32,15028
1780846964,34,15028
1780846966,36,14004
1780846968,38,14004
1780846971,41,12980
1780846973,43,12980
1780846975,45,11956
1780846977,47,11956
1780846979,49,10932
1780846981,51,10932
1780846984,54,10932
1780846986,56,9908
1780846988,58,8884
1780846990,60,8884
1780846993,63,8884
1780846995,65,8884
1780846997,67,8884
1780847000,70,7860
1780847002,72,7860
1780847004,74,7860
1780847006,76,6836
1780847008,78,6836
1780847010,80,5812
1780847013,83,5812
1780847015,85,5812
1780847017,87,4788
1780847019,89,4788
1780847021,91,3764
1780847023,93,3764
1780847026,96,3764
1780847028,98,2740
1780847030,100,2740
1780847032,102,1716
1780847034,104,1716
1780847037,107,1716
1780847039,109,1716
1780847041,111,692
1780847043,113,692
1780847045,115,692
1780847047,117,0
